,First Name_GAA,Last Name_GAA,Team_GAA,TOI,GAA_GAA,GSAA_GAA,SV%_GAA,TrueSV%_GAA,ExpSV%_GAA,xGSAA_GAA,CA_GAA,FA_GAA,SA_GAA,xGA_GAA,GA_GAA,HighS_GAA,HighG_GAA,HighSV%_GAA,MedS_GAA,MedG_GAA,LowS_GAA,LowG_GAA,AdjSV%_GAA,Dist_GAA,Reb_GAA,Rush_GAA,DS_GAA,PenT_GAA,PenD_GAA,PenDf_GAA,CF_GAA,FF_GAA,SF_GAA,xGF_GAA,GF_GAA,RebF_GAA,RushF_GAA,Supp_GAA,ZS%_GAA,OZS_GAA,DZS_GAA,NZS_GAA,Last Name_injuries,First Name_injuries,Team_injuries,DOB,Birth City,S/P,Cntry,Nat,Ht,Wt,Sh,Dft Yr,Rd,Ovrl,GP,GS,GR,W,L,T,OTL,SA_injuries,SV,GA_injuries,SV%_injuries,GAA_injuries,GSAA_injuries,MIN,SO,G,A,PTS,PIM,PenT_injuries,PenD_injuries,PenDf_injuries,Supp_injuries,QoC,StMin,StSV,StGA,StSV%,StGAA,QS,QS%,RBS,Pull,ReMin,ReSV,ReGA,ReSV%,ReGAA,Dist_injuries,Reb_injuries,Rush_injuries,DS_injuries,HighS_injuries,HighG_injuries,HighSV%_injuries,MedS_injuries,MedG_injuries,LowS_injuries,LowG_injuries,AdjSV%_injuries,EVSA,EVGA,EV SV%,PP SA,PP GA,PP SV%,SH SA,SH GA,SH SV%,AdjSV%.1,CA_injuries,FA_injuries,SA.1,xGA_injuries,GA.1,TrueSV%_injuries,ExpSV%_injuries,xGSAA_injuries,ZS%_injuries,OZS_injuries,DZS_injuries,NZS_injuries,CF_injuries,FF_injuries,SF_injuries,xGF_injuries,GF_injuries,RebF_injuries,RushF_injuries,SOS,SOG,SO SV%,SOW,SOL,NMC,Status,Salary,Cap Hit,Pace,1st,2nd,3rd,Star,GPS,Ginj,Injuries,CHIP
0,Allen,Jake,STL,2692.83,2.13901360278963,1.7180259999999947,0.9245875883739199,0.9596299411269975,0.9235506677140612,1.3199999999999932,2378,1752,1273,97.32,96,239,45,0.8117154811715481,594,14,440,37,0.9192658885578238,32.69,78,83,161,2,1,-1,2371,1774,1307,104.22,113,78,97,2.517797261616961,0.47644927536231885,789,867,919,Allen,Jake,STL,1990-08-07,Fredericton,NB,CAN,CAN,74.0,203.0,L,2008.0,2.0,34.0,61.0,60.0,1.0,33.0,20.0,0.0,5.0,1620.0,1482.0,138.0,0.9148148148148149,2.4222448671129317,2.194800000000015,3418.3166666667,4.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,2.4162770174403345,0.0849722561,3400.5,1479.0,138.0,0.9146567717996289,2.434936038817821,33.0,0.55,11.0,8.0,17.8166666667,3.0,0.0,1.0,0.0,32.03,100.0,101.0,201.0,352.0,66.0,0.8125,593.0,55.0,675.0,17.0,0.9104018004809193,1350.0,110.0,0.9185185185185185,241.0,24.0,0.9004149377593361,29.0,4.0,0.8620689655172413,0.9145770560086485,3022.0,2241.0,1620.0,136.01,138.0,0.9543348775645268,0.9160432098765432,-1.990000000000009,0.4655635062611807,1041.0,1195.0,1050.0,2905.0,2190.0,1611.0,137.66,162.0,100.0,111.0,15.0,4.0,0.7333333333333334,1.0,2.0,,UFA,2500000.0,2350000.0,104.03366179259672,9.0,7.0,6.0,22.0,9.8,,, 
1,Alves,Jorge,CAR,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,1,0,0,Alves,Jorge,CAR,1979-01-30,Boston,MA,USA,USA,69.0,185.0,L,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,, 
2,Andersen,Frederik,TOR,2997.2,2.3421860403042842,6.510058000000001,0.9272840273461778,0.9610778443113772,0.9167743940335612,16.909999999999997,3006,2280,1609,133.91,117,336,58,0.8273809523809523,642,8,631,51,0.9285175213103296,30.3,91,156,247,2,7,5,2962,2202,1531,140.48,139,74,181,2.7825970906179105,0.4782157676348548,922,1006,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Anderson,Craig,OTT,1908.44,1.8549181530464671,16.994379999999992,0.9404040404040404,0.969254820218864,0.9227777777777778,17.450000000000003,1919,1374,990,76.45,59,199,34,0.8291457286432161,501,8,290,17,0.9354294281684422,35.34,79,117,196,0,0,0,1787,1314,986,78.14,74,95,119,2.3265075139904843,0.5252274607113316,635,574,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bachman,Richard,VAN,244.84,2.6956379676523445,-0.3300820000000009,0.920863309352518,0.9580152671755725,0.9076258992805756,1.8399999999999999,262,204,139,12.84,11,38,8,0.7894736842105263,44,1,57,2,0.9325615629984052,26.77,8,16,24,0,0,0,218,155,107,8.77,8,4,18,1.9604639764744323,0.4768211920529801,72,79,80,Bachman,Richard,VAN,1987-07-25,Salt Lake City,UT,USA,USA,70.0,183.0,L,2006.0,4.0,120.0,5.0,5.0,0.0,2.0,3.0,0.0,0.0,162.0,149.0,13.0,0.9197530864197531,2.642425611202376,1.0194800000000015,295.1833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284681836147285,0.0907154216,295.1833333333,149.0,13.0,0.9197530864197531,2.642425611202376,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.31,8.0,16.0,24.0,48.0,8.0,0.8333333333333334,65.0,4.0,49.0,1.0,0.9291345368916797,141.0,11.0,0.9219858156028369,20.0,2.0,0.9,1.0,0.0,1.0,0.9205702127659575,305.0,236.0,162.0,15.17,13.0,0.9573770491803278,0.9063580246913581,2.17,0.4793814432989691,93.0,101.0,92.0,253.0,185.0,127.0,11.24,9.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,,UFA,575000.0,575000.0,113.42103777314814,1.0,0.0,1.0,2.0,1.1,,, 
5,Bernier,Jonathan,ANA,1535.89,2.226721965765777,-0.42640600000000006,0.9226594301221167,0.9625246548323472,0.9167706919945726,4.340000000000003,1521,1128,737,61.34,57,144,28,0.8055555555555556,301,8,292,21,0.9210669172266975,28.52,46,79,125,2,2,0,1393,1058,760,70.45,67,51,80,2.6173749422159136,0.45965270684371806,450,529,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Berra,Reto,FLA,248.43,3.3812341504649197,-5.095608,0.8793103448275862,0.9363636363636364,0.9010344827586207,-2.5199999999999996,220,172,116,11.48,14,26,6,0.7692307692307692,47,2,43,6,0.8820726258896967,32.45,13,16,29,0,0,0,214,169,129,9.5,9,10,14,2.173650525298877,0.4927536231884058,68,70,97,Berra,Reto,FLA,1987-01-03,Bulach,,CHE,CHE,76.0,210.0,L,2006.0,4.0,106.0,7.0,4.0,3.0,0.0,5.0,0.0,0.0,145.0,127.0,18.0,0.8758620689655172,3.4491935913127754,-5.451699999999999,313.1166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8896577420553693,0.0857306243,236.85,99.0,17.0,0.853448275862069,4.306523115896137,0.0,0.0,2.0,0.0,76.2666666667,28.0,1.0,0.9655172413793104,0.7867132867129428,34.6,15.0,16.0,31.0,39.0,10.0,0.7435897435897436,56.0,6.0,50.0,2.0,0.8829279120879121,117.0,14.0,0.8803418803418803,22.0,2.0,0.9090909090909091,6.0,2.0,0.6666666666666667,0.8796247086247087,263.0,211.0,145.0,14.88,18.0,0.9315589353612167,0.8973793103448275,-3.119999999999999,0.5445026178010471,104.0,87.0,110.0,303.0,241.0,175.0,15.08,11.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,,UFA,1500000.0,1450000.0,108.45797626016837,,,,,0.2,,, 
7,Berube,Jean-Francois,NYI,444.72,3.10307609282245,-5.037692,0.9017094017094017,0.9422110552763819,0.9257264957264957,-5.620000000000001,398,314,234,17.38,23,40,11,0.725,103,4,91,8,0.8928233092393044,33.26,7,21,28,0,0,0,469,335,241,18.16,19,12,21,2.5634106853750676,0.4440789473684211,135,169,161,Berube,Jean-Francois,NYI,1991-07-13,Repentigny,QC,CAN,CAN,73.0,177.0,L,2009.0,4.0,95.0,14.0,7.0,7.0,3.0,2.0,0.0,2.0,271.0,241.0,30.0,0.8892988929889298,3.4167483944444035,-6.547659999999997,526.8166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4794204182351556,0.08110788320000001,389.0833333333,177.0,23.0,0.885,3.546798029556954,3.0,0.42857142857142855,2.0,1.0,137.7333333333,64.0,7.0,0.9014084507042254,3.0493707647635646,32.81,10.0,23.0,33.0,48.0,14.0,0.7083333333333333,109.0,11.0,114.0,5.0,0.8754998994044745,241.0,25.0,0.8962655601659751,26.0,5.0,0.8076923076923077,4.0,0.0,1.0,0.8857197574210023,465.0,365.0,271.0,21.18,30.0,0.935483870967742,0.9218450184501845,-8.82,0.45187165775401067,169.0,205.0,181.0,536.0,384.0,279.0,21.77,31.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,,UFA,675000.0,675000.0,114.00550476129493,0.0,1.0,1.0,2.0,0.8,,, 
8,Bibeau,Antoine,TOR,81.36,1.4749262536873158,0.9937179999999999,0.9487179487179487,0.975,0.9246153846153846,0.94,80,62,39,2.94,2,7,2,0.7142857142857143,20,0,12,0,0.9387714285714286,37.13,0,3,3,0,0,0,109,86,64,4.74,2,0,4,1.4749262536873158,0.5166666666666667,31,29,22,Bibeau,Antoine,TOR,1994-05-01,Victoriaville,QC,CAN,CAN,75.0,210.0,L,2013.0,6.0,172.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,55.0,51.0,4.0,0.9272727272727272,1.989225031081641,0.7597000000000005,120.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.7148777455449644,0.079470859,120.65,51.0,4.0,0.9272727272727272,1.989225031081641,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.51,0.0,7.0,7.0,11.0,4.0,0.6363636363636364,20.0,0.0,24.0,0.0,0.9138181818181819,39.0,2.0,0.9487179487179487,11.0,2.0,0.8181818181818181,5.0,0.0,1.0,0.930839160839161,114.0,87.0,55.0,4.63,4.0,0.9649122807017544,0.9158181818181819,0.6299999999999999,0.5227272727272727,46.0,42.0,36.0,148.0,116.0,78.0,7.47,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,,RFA,680000.0,655000.0,130.29423953584748,,,,,0.4,,, 
9,Bishop,Ben,"TBL, LAK",1700.08,2.1528398663592303,1.023696000000001,0.9245049504950495,0.9591152815013405,0.9190594059405941,4.400000000000006,1492,1139,808,65.4,61,168,30,0.8214285714285714,348,4,292,27,0.9234461052252738,34.5,51,104,155,4,1,-3,1646,1254,888,73.53,64,71,86,2.258717236835914,0.5256525652565257,584,527,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
